x,y,z
17,5.615998,b
13,15.0558,b
8,11.49971,b
16,18.45448,c
11,2.936896,b
2,17.51464,b
15,9.412643,b
17,1.946336,b
0,10.90101,b
10,15.69008,a
16,9.849413,c
5,5.521367,c
18,0.2863313,a
13,5.671434,a
15,5.657284,b
6,18.43895,a
19,4.256868,a
0,12.34347,c
9,7.212878,c
15,18.06022,b
7,4.118573,c
8,1.364159,c
9,13.05785,a
5,5.562816,a
7,16.45403,c
3,5.793016,a
10,5.030636,b
13,16.47219,c
4,2.415171,b
12,15.38418,a
4,9.173167,b
1,4.340436,a
7,18.39689,c
1,6.591899,b
13,2.516196,b
0,4.166915,a
13,6.440805,a
4,9.877659,c
11,9.533906,a
8,16.60973,b
19,1.875275,b
4,6.244613,a
16,14.23096,b
4,7.773089,c
10,1.674649,c
14,8.957347,c
5,0.2022407,c
9,13.76561,c
3,19.2482,a
2,8.809969,b
11,0.8885594,a
2,6.998472,c
3,0.3217061,a
11,15.22183,a
5,5.945031,c
4,2.793131,a
7,16.61559,b
13,12.43141,c
2,3.413036,a
1,14.10465,b
18,15.40985,c
4,3.458656,c
6,8.091185,c
1,2.769415,a
9,17.82672,b
8,10.8486,a
7,4.13695,c
1,14.21878,b
9,15.30225,c
14,12.24372,a
13,4.215639,c
18,5.77313,a
3,4.794103,c
8,12.87734,a
18,19.80989,a
15,18.55089,c
0,12.75036,a
16,14.24025,c
15,9.904456,c
3,15.47131,b
16,0.06205198,b
17,18.98225,c
18,14.42011,a
14,18.5433,c
15,7.658835,b
2,4.622888,b
15,4.714745,b
5,18.8971,a
8,9.354353,c
18,7.855967,a
13,7.639697,b
9,7.825446,b
3,18.46794,c
14,17.274,a
9,7.923342,a
7,5.43884,c
0,1.76613,b
9,12.25361,b
2,17.6051,c
13,5.43517,c
18,11.8432,c
2,5.326514,b
12,12.18516,a
6,12.43581,c
12,18.86231,c
16,7.55705,b
1,16.60061,c
0,2.298785,a
0,5.715766,b
7,2.688792,a
10,18.02717,c
0,3.105683,b
2,16.24357,b
2,19.79691,c
0,15.32193,b
5,17.44123,b
19,8.708575,c
5,14.2309,a
9,17.88103,b
12,5.517761,c
0,9.432484,b
6,8.51172,b
15,12.795,a
16,15.75554,b
18,5.275046,c
12,19.00888,a
3,18.89834,a
1,2.54606,c
16,5.467464,c
19,19.2449,c
0,0.02636861,c
16,1.112014,b
2,0.4993536,c
16,18.05034,a
8,19.30574,b
10,3.533097,a
16,3.107709,c
5,7.041748,c
14,3.623949,c
0,6.956401,b
3,4.942768,a
14,7.899942,c
18,9.765085,c
9,7.282865,a
0,0.1935958,c
8,16.92383,a
6,17.11094,b
15,2.441229,b
8,14.7183,a
2,11.76884,a
15,9.026357,c
10,15.63817,a
13,10.84467,a
10,16.23596,a
11,2.111268,a
16,18.33553,c
13,17.64384,b
16,1.685211,b
8,9.39706,b
3,17.63287,c
5,10.4897,a
5,16.34459,c
14,18.31874,b
11,5.160383,a
18,18.40664,b
15,8.079912,a
4,13.76574,b
9,3.692133,c
13,17.92718,b
10,3.161538,b
7,0.8009664,b
0,5.865551,b
13,1.327084,c
18,17.63392,b
2,19.78348,b
10,19.69628,c
1,14.24445,a
6,11.77118,c
6,7.733627,c
15,4.903456,c
1,12.95495,b
3,5.510742,b
4,7.166476,c
0,19.33528,b
4,0.4699102,c
10,13.97216,a
2,6.060778,a
0,17.98254,c
17,17.82939,c
14,0.968639,c
16,19.26376,b
12,16.97549,b
0,14.53399,c
19,5.613411,b
17,10.10619,b
3,8.035841,c
1,13.18717,c
12,12.91269,b
18,13.26155,b
11,8.482648,a
1,11.87884,b
13,7.044517,a
10,10.10994,b
2,15.50944,c
11,10.43344,a
3,19.2507,b
1,17.18685,a
6,1.700722,a
3,13.24129,c
19,17.54285,b
4,4.45538,a
14,16.44862,a
19,2.091661,b
4,5.122634,b
3,10.27929,b
16,15.95944,a
4,0.2609922,a
4,15.15012,c
7,14.63061,c
19,0.9912446,b
4,12.33045,b
10,0.2431544,a
7,7.462403,a
5,8.663723,c
9,10.14105,a
6,7.191362,a
15,15.79282,a
10,18.52337,b
9,15.1004,c
18,5.959178,c
8,12.98071,a
18,5.080151,b
5,8.217796,b
5,5.732108,b
15,3.976088,b
14,5.695528,c
10,19.02003,c
11,5.289098,c
19,19.82438,c
13,4.526616,a
3,6.45146,b
1,4.952202,c
9,17.35858,a
5,5.425371,a
5,10.67869,b
18,13.04295,a
15,9.279128,c
3,17.88907,c
19,16.05759,a
1,17.37179,a
15,16.81771,c
9,0.650121,b
19,0.2396262,b
15,16.77095,c
18,4.833091,a
4,3.182682,b
11,3.157922,b
2,17.09919,b
14,14.67596,b
16,3.115414,b
1,15.37855,a
15,6.491345,b
11,17.73937,c
8,6.283758,c
4,7.281609,b
18,13.10169,a
8,13.51509,b
0,3.967078,b
3,2.906827,c
2,3.701923,c
16,12.8269,b
7,17.65682,b
15,12.42381,a
16,1.949401,a
18,5.42007,c
0,10.19141,b
2,6.898762,b
1,16.34148,b
14,3.472309,b
4,16.30873,b
1,14.36116,a
1,19.60082,a
1,19.90613,b
10,16.18737,b
6,13.37819,b
19,0.07036535,a
11,2.41682,b
8,2.54207,c
0,9.503286,c
5,4.267061,a
10,10.89248,b
11,1.102224,b
1,5.60361,a
19,10.22181,c
6,3.924548,a
10,1.562843,b
17,17.5584,c
7,13.25169,c
15,10.07778,c
11,3.11457,c
5,18.9385,c
3,11.52748,c
15,7.310781,c
2,7.853956,c
1,7.512443,b
14,3.21227,b
17,7.745133,c
3,8.793017,b
11,2.605012,a
3,8.48312,c
2,8.431663,c
18,5.081815,b
9,13.34398,c
1,10.21675,c
2,7.778015,c
14,11.20505,a
19,15.89525,a
6,11.55424,a
3,7.131851,b
6,16.59129,c
13,3.597494,b
8,2.087565,a
4,11.20672,a
16,0.3772357,a
1,10.92756,a
16,16.34284,a
10,2.155201,a
0,3.010117,c
6,16.01073,c
10,11.54378,b
17,3.60728,b
9,0.2656263,a
3,17.41294,b
18,10.98512,c
15,18.25889,a
14,10.85684,c
9,8.995876,c
17,6.919441,a
15,2.846032,b
10,8.95869,c
15,5.991206,c
19,2.848805,c
0,9.973217,b
9,18.78719,b
14,19.50295,c
16,12.14886,a
18,17.8697,c
5,6.907886,b
8,19.13411,c
17,5.457214,c
1,16.29479,a
4,16.50669,b
8,3.640414,c
3,1.526106,c
4,12.271,c
17,0.5460887,b
10,10.49777,b
14,11.32107,c
11,4.605761,b
15,14.98609,c
0,18.62405,a
12,17.71963,c
0,19.79509,b
2,8.462313,a
15,10.94959,a
15,13.21078,b
6,14.55569,a
2,15.7971,a
1,0.6262889,c
4,19.66444,c
12,10.10539,a
0,13.39778,a
17,18.69045,a
19,5.026897,a
14,8.363216,b
4,15.95489,a
13,9.949484,b
2,6.180729,a
16,0.8387748,b
10,6.542088,c
19,13.63886,b
1,9.494444,b
6,3.347722,c
13,18.09081,b
6,10.1425,c
13,17.63721,c
17,8.858763,b
18,5.106607,a
5,7.430534,c
6,18.07485,a
19,5.77936,c
16,18.25308,b
7,13.5614,c
4,10.46172,c
12,16.09972,b
14,10.10393,a
7,14.97675,b
3,11.98218,b
11,15.32074,a
13,7.904715,c
1,16.13192,b
19,4.558335,b
16,17.70122,c
2,14.93776,c
12,3.448449,b
16,4.235547,a
19,5.426355,c
11,8.40414,b
2,7.973925,a
3,1.972286,c
11,9.062841,b
7,3.957193,a
15,8.087843,a
18,18.94794,c
0,4.076454,c
12,4.942998,c
6,17.55761,a
4,1.31246,c
1,2.691341,b
7,5.799756,a
16,5.471808,a
12,10.31075,c
19,18.20693,c
8,12.52872,c
13,3.282728,b
15,16.7271,b
2,1.93556,b
12,0.1555553,a
16,3.652195,c
6,12.30167,a
8,1.231833,a
16,1.266832,b
18,12.45756,a
0,13.72856,c
6,9.751922,a
18,5.442963,a
14,0.7463608,c
3,7.666721,c
17,7.91683,b
15,11.8142,a
18,14.93225,a
6,5.768465,b
12,1.608814,b
12,10.90522,a
17,13.44827,b
3,11.96059,c
6,13.43334,a
19,19.73587,c
2,17.32805,c
19,5.560596,c
15,8.606745,a
4,19.32647,c
10,14.10303,c
6,16.69416,a
12,9.578754,c
19,18.91522,b
13,17.73894,c
1,10.72809,b
16,7.680111,b
12,9.957371,b
16,14.84628,c
14,14.46705,c
7,13.64486,c
2,19.60572,b
6,11.29695,b
8,18.46235,a
16,16.15567,b
14,19.23097,b
16,18.36382,b
0,16.53127,c
3,7.371202,a
15,4.520983,a
5,16.35003,b
8,18.02847,c
19,15.94015,b
12,13.86362,a
6,9.661924,c
16,17.31645,b
12,11.16014,b
13,2.815276,c
6,3.146492,a
10,19.45648,a
17,17.17331,b
6,5.406722,a
0,2.369571,b
16,16.83541,a
10,6.54595,a
9,18.04704,a
18,18.61448,a
10,18.42078,b
3,5.925457,c
7,2.547288,c
6,3.277387,c
3,19.30146,a
6,17.25128,b
2,2.240585,a
8,11.21272,a
14,14.82252,c
15,15.17572,a
13,10.53624,a
10,1.110862,a
6,12.5819,b
18,16.71443,b
9,13.33549,a
15,0.8814524,b
19,10.06434,a
13,19.72626,c
18,5.684202,a
16,19.18722,a
15,7.842692,b
5,16.77615,a
2,0.9168339,a
9,0.7222963,a
13,13.83228,c
2,19.02689,b
0,9.36588,b
13,16.64676,a
16,18.18978,b
18,4.308477,c
2,10.15066,c
11,14.47803,c
7,17.14941,c
16,2.599085,b
9,7.556284,c
19,4.862239,c
13,9.778999,a
13,13.2612,a
6,15.43245,a
8,9.136194,b
15,19.24072,b
19,4.14759,a
6,13.82425,a
16,7.626149,b
8,14.7822,b
11,3.92289,c
9,7.725253,b
11,15.86103,c
0,6.00232,a
15,4.178107,c
18,14.56106,c
5,2.496286,b
16,4.047294,a
3,3.868561,b
18,13.46593,b
9,2.349758,c
4,8.048875,b
11,13.93975,a
5,14.43913,c
19,6.467525,b
10,17.21011,a
11,3.207026,b
12,1.420933,a
5,11.00362,a
10,6.16044,c
19,5.536408,b
0,11.0255,b
8,0.7888892,a
19,10.30209,b
1,8.38611,b
12,5.083404,b
0,9.728583,c
0,11.84883,b
6,2.107061,a
11,17.91212,b
0,9.447084,b
16,17.04158,c
18,5.917836,c
0,19.71794,a
2,7.447949,c
14,9.393534,a
3,5.499142,a
2,16.44011,a
12,6.782931,c
18,3.971735,c
16,8.340034,b
8,17.92413,a
9,12.96279,b
5,6.188864,a
8,15.87167,a
19,0.007272586,b
17,8.440451,c
18,7.480012,b
14,7.646309,a
16,15.81832,b
12,6.471783,c
0,15.93659,c
6,3.242007,b
9,18.13753,c
7,7.517464,c
17,0.8079937,c
9,7.810025,c
7,19.23001,c
15,8.527788,b
19,4.988039,a
3,18.52897,b
2,12.08195,c
13,6.55266,b
3,3.570624,a
0,3.604787,c
17,5.511732,a
19,15.73841,b
12,9.372243,b
17,0.432674,b
10,11.94245,c
5,0.450522,a
0,19.03294,c
2,7.458383,b
11,12.59665,b
14,1.833064,a
16,7.058825,b
17,14.69927,c
11,14.88706,a
4,17.65376,b
8,0.7654232,c
2,5.323584,c
5,4.397979,b
13,8.53138,a
3,12.00567,c
17,0.4021914,b
3,5.223762,c
13,14.96466,c
12,9.229485,c
5,11.28191,b
6,19.78905,a
12,19.1898,b
0,17.33758,a
10,14.99598,a
17,6.831483,a
13,17.00207,b
12,9.058834,a
9,14.48694,a
10,3.712823,a
7,5.512947,b
16,0.9275993,c
4,9.240064,b
2,6.953004,c
15,4.008316,b
9,2.281016,a
4,4.254106,a
1,1.690454,c
13,13.63834,a
16,15.47563,a
3,0.1171352,a
15,9.752705,a
16,0.3287842,c
16,16.26236,c
18,17.71724,c
2,8.206393,c
8,4.142919,c
9,18.36919,b
3,11.09675,c
19,16.74435,a
7,18.13801,a
6,6.416205,b
19,3.913399,c
5,13.26263,c
1,8.534152,c
15,18.54491,b
9,0.7488605,b
2,5.313818,b
15,3.363046,a
9,11.11651,b
9,1.612158,c
13,18.02445,b
0,0.9598356,c
14,12.19449,b
14,8.433901,c
5,17.43188,b
11,15.07973,a
8,9.44668,a
10,12.87986,b
0,12.69081,b
15,11.0426,a
7,16.61952,a
11,3.751545,c
15,19.53532,a
13,19.5641,b
17,8.979673,b
12,13.88278,a
17,16.50433,a
10,12.02353,b
10,19.25834,b
17,0.1347554,a
2,6.244921,a
6,4.531481,a
7,19.30411,b
9,8.214882,a
17,0.9352,c
18,12.81526,b
14,7.378375,c
8,13.1939,a
19,0.7468368,a
15,14.60325,c
5,17.48285,c
18,2.66087,b
2,17.99925,a
16,5.141999,b
10,1.303698,b
19,8.50844,a
2,4.10697,b
17,7.25832,c
9,14.43836,c
4,8.852317,c
17,6.379381,c
13,13.54808,c
14,18.63561,c
10,5.626212,a
10,14.98366,b
17,8.943345,c
7,8.735907,b
0,13.53895,b
1,1.503687,b
0,14.26568,c
0,19.96952,c
0,19.84263,c
0,9.730243,a
13,7.867069,b
9,14.00523,c
3,19.97605,b
13,16.61867,b
15,6.227016,c
8,8.189527,a
18,17.14894,a
17,16.48764,b
15,13.35335,c
1,6.394287,a
4,8.907298,a
6,12.60951,a
17,16.49598,c
1,6.690017,b
18,2.980217,c
8,12.92846,a
14,2.888033,a
2,9.270298,a
0,4.981333,c
6,10.74261,a
7,2.02165,c
12,18.31583,b
18,15.54239,a
8,13.52302,c
9,18.67711,a
3,19.96979,b
10,13.61348,c
17,0.6595003,a
9,8.175589,c
16,15.03446,b
11,3.200524,c
6,3.270611,b
10,11.46532,a
1,16.93551,a
17,12.1871,b
16,6.676836,a
17,15.42165,b
3,19.2684,c
11,14.35908,c
17,2.295886,a
8,2.913062,a
10,8.400261,a
18,19.8893,b
1,9.356686,b
14,7.39013,a
8,19.96045,b
1,17.50281,a
8,10.29811,c
14,11.14795,b
13,7.574637,b
7,6.607242,c
5,0.5138685,c
11,11.40636,c
3,17.94606,b
18,6.999757,a
19,15.07208,b
13,1.510774,b
3,14.61735,b
6,8.169745,c
16,8.549134,a
6,8.492026,c
7,18.9638,a
4,10.97074,a
14,17.59552,b
1,14.96797,b
16,0.3110119,a
15,4.846174,c
14,7.743811,a
13,13.30415,b
8,5.052701,c
3,13.01657,c
7,4.567791,b
16,5.68711,a
9,3.45664,c
12,3.632422,a
10,0.831129,c
2,3.053487,c
8,17.31375,a
4,5.893746,c
7,8.589986,c
17,19.00188,c
18,1.281296,c
6,12.73759,a
6,10.65268,c
10,18.19399,c
12,18.87601,c
19,7.215115,a
0,0.7194644,c
7,15.84657,c
17,11.79435,b
5,6.072467,a
4,16.75396,c
13,16.32922,a
14,17.74994,c
14,6.704789,c
10,16.50773,b
9,12.07699,a
10,13.61769,a
16,14.15587,a
1,5.267407,b
16,16.05547,b
15,11.27757,b
5,5.690841,c
5,2.626083,c
4,5.194365,a
17,1.861009,c
17,0.8311006,a
6,2.054251,a
14,19.90334,a
7,4.750838,b
11,18.7981,c
15,2.71086,a
1,17.71403,c
1,7.741528,b
15,1.588869,c
0,18.68555,a
11,17.85305,b
18,10.08247,a
15,6.222801,c
1,6.553829,b
11,5.393478,c
16,11.2512,a
2,18.13857,b
5,5.881431,c
1,17.77374,a
1,9.528743,c
3,9.268804,a
8,3.599239,c
16,14.3673,a
13,18.07203,b
10,8.153864,a
4,3.831761,a
2,10.65535,a
10,14.70869,c
0,6.659135,c
15,2.485403,b
11,4.718556,a
11,13.07595,a
13,4.37773,a
15,17.00764,a
12,10.75131,b
7,4.703041,c
15,2.354562,b
5,3.618236,b
0,1.235522,c
13,11.75321,b
8,14.75464,c
16,19.58477,b
0,13.46177,c
19,13.26668,b
3,0.5869394,b
17,2.853417,a
13,7.437513,c
2,16.29071,a
18,10.95729,a
6,19.67789,b
13,12.34296,b
12,13.3479,a
2,0.9793817,c
19,11.60716,a
13,1.793282,a
5,19.83496,a
9,17.42592,a
3,7.15215,c
15,15.80072,a
6,11.83458,c
4,15.2763,a
1,11.92531,b
17,5.747486,a
10,1.451507,c
4,0.640957,b
13,13.11029,c
7,5.666258,a
5,1.096269,c
14,8.296593,c
2,14.25196,c
3,16.10939,b
18,13.26726,c
19,4.644657,c
4,8.903661,c
2,16.23787,c
10,19.99056,c
4,19.4163,b
19,8.727573,c
12,14.83157,a
1,12.23526,b
8,8.05283,b
6,6.182777,c
14,7.460992,c
7,6.886108,c
15,12.23742,c
3,2.545009,b
0,7.863476,b
1,5.849561,c
12,7.36296,c
1,13.8803,b
5,14.0537,a
15,17.21288,c
19,9.02495,c
0,2.298932,a
8,12.72432,a
6,6.098669,a
8,7.534286,c
14,14.52917,c
0,11.05685,a
8,7.912548,b
6,15.77794,a
12,17.39217,b
1,12.55701,a
12,0.7709024,b
10,5.525431,a
2,1.831837,b
10,17.94168,a
6,3.650099,b
6,3.360879,b
1,19.92184,b
19,2.410319,b
13,16.81718,a
17,9.646339,c
0,3.598281,b
11,0.7342078,b
3,15.34432,a
19,1.559042,b
18,17.33377,c
2,9.665768,a
7,14.65825,a
4,4.56379,b
15,19.9469,b
13,8.216768,a
13,8.989944,a
16,11.0713,c
1,15.04364,b
16,14.57735,b
2,17.85609,b
16,0.5857233,a
15,0.3141264,b
19,9.553262,b
4,13.26554,a
9,13.25387,c
6,6.630515,a
11,1.15277,c
11,16.01856,a
4,3.829221,b
16,4.835403,a
1,14.85671,c
11,15.16723,b
14,14.65822,a
0,7.667231,a
10,7.046669,c
4,6.708526,a
3,5.854465,c
19,7.223988,a
8,0.5531322,a
11,7.138023,c
5,16.02658,a
5,0.5386182,a
4,10.56521,a
9,4.648349,a
7,2.763744,a
9,12.80777,a
8,6.358923,b
16,19.88249,b
2,8.718241,a
14,5.351243,c
17,4.267988,a
6,2.396359,c
17,9.012801,a
12,13.94134,c
11,11.39332,c
8,0.3925764,b
4,15.13508,b
3,1.884494,a
19,15.15619,a
0,1.187317,a
13,15.69875,b
15,0.2673035,c
16,0.6437571,b
5,13.98059,a
5,2.055873,c
9,3.731193,a
1,15.42307,c
7,14.01677,c
0,12.95602,a
0,15.77973,a
9,7.929486,b
11,10.23666,b
8,18.05668,c
19,1.721635,c
19,12.19302,c
5,3.735444,c
12,19.09009,b
16,19.05359,a
6,13.86989,a
3,17.05918,a
